Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost,Car_Age,Price_Category,Mileage_Category
66,Kia,Sonet,2016,Diesel,Manual,2190000,25.2,1200,5,7100,9,Luxury,High Mileage
67,Skoda,Superb,2020,Diesel,Manual,2300000,22.6,2500,4,11700,5,Luxury,High Mileage
68,Kia,Sonet,2020,Diesel,Automatic,2650000,11.4,1200,6,24700,5,Luxury,Low Mileage
69,Hyundai,Venue,2021,Electric,Automatic,1680000,24.1,2500,6,24000,4,Mid Range,High Mileage
70,Skoda,Rapid,2015,Electric,Automatic,1700000,15.8,800,4,23500,10,Mid Range,Low Mileage
71,Toyota,Glanza,2023,Diesel,Automatic,1630000,27.1,800,4,17700,2,Mid Range,High Mileage
72,Hyundai,Creta,2020,Electric,Manual,1720000,23,2500,6,21900,5,Mid Range,High Mileage
73,Honda,WR-V,2021,Electric,Automatic,940000,25.7,1500,4,9900,4,Budget,High Mileage
74,Mahindra,Thar,2022,Diesel,Manual,3090000,26.2,1500,6,15800,3,Luxury,High Mileage
75,Toyota,Glanza,2016,Diesel,Manual,3260000,10.2,1000,4,6300,9,Luxury,Low Mileage
76,Mahindra,XUV300,2022,Petrol,Automatic,2150000,13,1800,6,5300,3,Luxury,Low Mileage
77,Tata Motors,Punch,2019,Petrol,Manual,1720000,17.3,2000,5,6900,6,Mid Range,Low Mileage
78,Hyundai,i20,2018,Diesel,Automatic,2070000,15.5,2500,5,19700,7,Luxury,Low Mileage
79,Honda,Civic,2024,Diesel,Automatic,2040000,27.6,2500,5,14700,1,Luxury,High Mileage
80,Tata Motors,Altroz,2018,CNG,Manual,1990000,19.9,800,6,21600,7,Mid Range,Low Mileage
81,Skoda,Octavia,2020,Diesel,Automatic,820000,28.7,2500,5,11700,5,Budget,High Mileage
82,Volkswagen,Taigun,2020,Diesel,Manual,1080000,14.3,1800,4,24200,5,Mid Range,Low Mileage
83,Maruti Suzuki,Swift,2017,Petrol,Automatic,1510000,12,1000,4,14200,8,Mid Range,Low Mileage
84,Toyota,Urban Cruiser,2022,Diesel,Automatic,850000,15.3,1800,5,10200,3,Budget,Low Mileage
85,Skoda,Kushaq,2021,Electric,Automatic,1450000,27.6,1000,5,16700,4,Mid Range,High Mileage
86,Kia,Carnival,2022,Petrol,Automatic,1930000,19.7,2000,5,18300,3,Mid Range,Low Mileage
87,Kia,EV6,2016,Diesel,Automatic,1310000,11.9,2000,6,22700,9,Mid Range,Low Mileage
88,Renault,Lodgy,2016,CNG,Manual,520000,26.4,1800,5,14600,9,Budget,High Mileage
89,Toyota,Fortuner,2016,CNG,Manual,2560000,29.3,1000,4,22900,9,Luxury,High Mileage
90,Hyundai,i20,2017,Petrol,Automatic,1790000,10.5,1800,7,8800,8,Mid Range,Low Mileage
91,Volkswagen,Vento,2018,Electric,Manual,1770000,13.6,1200,5,18000,7,Mid Range,Low Mileage
92,Hyundai,i20,2015,Diesel,Manual,2750000,22.6,1000,4,18900,10,Luxury,High Mileage
93,Volkswagen,Taigun,2021,CNG,Manual,3240000,24.1,1000,4,10400,4,Luxury,High Mileage
94,Tata Motors,Nexon,2023,Electric,Automatic,1210000,20.8,2000,7,9000,2,Mid Range,High Mileage
95,Toyota,Innova,2018,Electric,Manual,2360000,20.2,800,5,13000,7,Luxury,High Mileage
96,Volkswagen,Polo,2018,CNG,Manual,3300000,10.6,1500,6,24200,7,Luxury,Low Mileage
97,Honda,Civic,2017,CNG,Automatic,1610000,18.2,800,4,23600,8,Mid Range,Low Mileage
98,Maruti Suzuki,Baleno,2020,Diesel,Manual,1370000,26,1200,7,13400,5,Mid Range,High Mileage
99,Hyundai,Verna,2017,Diesel,Automatic,3320000,16.6,1000,6,10300,8,Luxury,Low Mileage
100,Hyundai,Creta,2020,Electric,Automatic,2470000,14.2,1000,5,23100,5,Luxury,Low Mileage
101,Toyota,Innova,2020,Diesel,Manual,2010000,29.9,1800,5,9200,5,Luxury,High Mileage
102,Maruti Suzuki,Ertiga,2015,Diesel,Automatic,3270000,22.9,1000,4,7600,10,Luxury,High Mileage
103,Skoda,Kushaq,2019,Petrol,Automatic,2730000,20.7,800,4,23300,6,Luxury,High Mileage
104,Tata Motors,Tiago,2019,Diesel,Automatic,1930000,10.5,2000,6,11400,6,Mid Range,Low Mileage
105,Mahindra,Thar,2021,Petrol,Manual,2390000,21.7,2000,4,12400,4,Luxury,High Mileage
106,Tata Motors,Altroz,2015,Petrol,Manual,2060000,28.8,1800,6,10500,10,Luxury,High Mileage
107,Toyota,Urban Cruiser,2018,Electric,Automatic,3150000,11.8,1500,6,17300,7,Luxury,Low Mileage
108,Skoda,Kushaq,2018,Electric,Automatic,2960000,16,2000,5,21700,7,Luxury,Low Mileage
109,Tata Motors,Nexon,2020,Diesel,Automatic,2240000,25.1,1000,5,13600,5,Luxury,High Mileage
110,Kia,Carens,2022,Petrol,Manual,1370000,23.5,2500,7,5100,3,Mid Range,High Mileage
111,Honda,Amaze,2024,Diesel,Manual,2950000,18.1,800,6,6700,1,Luxury,Low Mileage
112,Honda,Amaze,2018,Diesel,Manual,2130000,17.8,800,5,19900,7,Luxury,Low Mileage
113,Maruti Suzuki,Baleno,2018,Electric,Manual,1330000,24.4,1200,7,10100,7,Mid Range,High Mileage
114,Maruti Suzuki,Ertiga,2020,Petrol,Automatic,3020000,20.5,1500,4,5100,5,Luxury,High Mileage
115,Maruti Suzuki,Baleno,2023,Petrol,Manual,990000,27.4,800,4,16700,2,Budget,High Mileage
116,Maruti Suzuki,Baleno,2023,CNG,Manual,3240000,25.6,1000,7,13600,2,Luxury,High Mileage
117,Hyundai,Venue,2023,Petrol,Manual,3430000,29.4,1000,4,23700,2,Luxury,High Mileage
118,Honda,Amaze,2018,Electric,Manual,1280000,12,1000,7,20300,7,Mid Range,Low Mileage
119,Honda,Jazz,2019,CNG,Automatic,1220000,11.1,1000,5,12600,6,Mid Range,Low Mileage
120,Toyota,Innova,2017,Electric,Automatic,1720000,22,1800,4,20900,8,Mid Range,High Mileage
121,Kia,Sonet,2018,Diesel,Automatic,2640000,25.6,1500,6,5900,7,Luxury,High Mileage
122,Honda,Jazz,2016,CNG,Automatic,1800000,27.7,2000,6,17400,9,Mid Range,High Mileage
123,Honda,WR-V,2023,Electric,Automatic,3470000,13,800,7,10200,2,Luxury,Low Mileage
124,Toyota,Innova,2021,Diesel,Manual,1730000,22.2,1200,5,21500,4,Mid Range,High Mileage
125,Skoda,Slavia,2023,Electric,Manual,2660000,16.9,2000,4,18400,2,Luxury,Low Mileage
126,Toyota,Urban Cruiser,2021,CNG,Automatic,2960000,16.7,2000,5,8300,4,Luxury,Low Mileage
127,Renault,Lodgy,2023,Petrol,Automatic,1460000,28.7,2000,6,23200,2,Mid Range,High Mileage
128,Honda,City,2017,Electric,Manual,3360000,26,1500,5,8000,8,Luxury,High Mileage
129,Skoda,Kushaq,2018,Diesel,Automatic,2890000,22,1800,5,22900,7,Luxury,High Mileage
130,Renault,Kiger,2015,Petrol,Manual,1490000,19.2,1200,7,16500,10,Mid Range,Low Mileage
131,Kia,EV6,2023,Diesel,Automatic,1420000,29.6,1500,6,18400,2,Mid Range,High Mileage
132,Renault,Kwid,2019,CNG,Automatic,1040000,12.2,1200,7,9500,6,Mid Range,Low Mileage
133,Mahindra,Scorpio,2019,Diesel,Manual,1300000,27.8,2000,4,23200,6,Mid Range,High Mileage
134,Maruti Suzuki,Dzire,2024,CNG,Manual,3370000,25.8,1200,7,11500,1,Luxury,High Mileage
135,Skoda,Rapid,2023,Diesel,Automatic,2040000,27,2000,7,13600,2,Luxury,High Mileage
136,Honda,Civic,2019,Petrol,Manual,2190000,17.4,800,7,10200,6,Luxury,Low Mileage
137,Tata Motors,Harrier,2021,Petrol,Automatic,2520000,25.7,2500,4,19800,4,Luxury,High Mileage
138,Kia,Carnival,2024,Diesel,Manual,1820000,23.9,2000,5,20800,1,Mid Range,High Mileage
139,Mahindra,XUV700,2017,Diesel,Automatic,480000,17.5,2500,6,24900,8,Budget,Low Mileage
140,Hyundai,Verna,2021,Electric,Manual,2480000,20.8,800,5,5500,4,Luxury,High Mileage
141,Skoda,Kushaq,2024,CNG,Automatic,2490000,27.8,1500,7,7500,1,Luxury,High Mileage
142,Maruti Suzuki,Ertiga,2015,CNG,Automatic,2860000,28,1500,5,16700,10,Luxury,High Mileage
143,Honda,City,2018,Electric,Automatic,3370000,14.4,1200,6,15300,7,Luxury,Low Mileage
144,Kia,Carens,2022,CNG,Automatic,2010000,22.7,2000,6,16900,3,Luxury,High Mileage
145,Honda,City,2018,CNG,Manual,1610000,17.7,1000,6,12300,7,Mid Range,Low Mileage
146,Skoda,Superb,2024,Electric,Manual,2440000,17.7,1500,6,6400,1,Luxury,Low Mileage
147,Honda,Civic,2022,Diesel,Automatic,2700000,18.1,1800,5,22900,3,Luxury,Low Mileage
148,Toyota,Glanza,2017,Electric,Manual,3190000,27.7,1800,4,21100,8,Luxury,High Mileage
149,Renault,Duster,2023,Petrol,Manual,3440000,17.9,1200,7,6600,2,Luxury,Low Mileage
150,Volkswagen,Vento,2018,Electric,Manual,1430000,24.6,1500,4,8000,7,Mid Range,High Mileage
151,Volkswagen,Polo,2023,CNG,Manual,3310000,24.2,2000,4,23300,2,Luxury,High Mileage
152,Mahindra,XUV700,2024,Petrol,Automatic,2120000,24.9,1800,7,23500,1,Luxury,High Mileage
153,Volkswagen,Polo,2016,Diesel,Automatic,3120000,19.5,1000,7,9400,9,Luxury,Low Mileage
154,Honda,Civic,2022,Electric,Automatic,1140000,29.9,800,5,11600,3,Mid Range,High Mileage
155,Renault,Lodgy,2023,Diesel,Automatic,1410000,19.1,2000,6,8200,2,Mid Range,Low Mileage
156,Hyundai,i20,2023,Electric,Manual,2800000,23.4,800,5,16600,2,Luxury,High Mileage
157,Skoda,Superb,2023,Electric,Automatic,3300000,10.6,2500,4,9600,2,Luxury,Low Mileage
158,Volkswagen,Taigun,2016,Electric,Manual,1330000,10.9,1800,7,22900,9,Mid Range,Low Mileage
159,Kia,Sonet,2015,Petrol,Automatic,1750000,23.3,1200,4,13100,10,Mid Range,High Mileage
160,Kia,Seltos,2019,CNG,Automatic,1980000,18.8,2500,4,10400,6,Mid Range,Low Mileage
161,Mahindra,Bolero,2023,Petrol,Manual,3400000,29.7,1200,5,15800,2,Luxury,High Mileage
162,Kia,Seltos,2023,CNG,Manual,2860000,26.7,1000,4,9600,2,Luxury,High Mileage
163,Skoda,Kushaq,2024,Electric,Automatic,2250000,21.4,1800,6,23800,1,Luxury,High Mileage
164,Honda,Amaze,2023,Diesel,Automatic,590000,28,1500,4,13000,2,Budget,High Mileage
165,Volkswagen,Vento,2019,CNG,Manual,2350000,21.7,1500,4,16300,6,Luxury,High Mileage
166,Mahindra,XUV700,2016,Petrol,Automatic,3460000,10.9,1800,6,12800,9,Luxury,Low Mileage
167,Renault,Kiger,2015,Petrol,Manual,2270000,16.9,800,4,12200,10,Luxury,Low Mileage
168,Renault,Kwid,2024,Petrol,Manual,1460000,18.4,1200,6,17100,1,Mid Range,Low Mileage
169,Toyota,Glanza,2015,Diesel,Manual,970000,15.9,2500,7,21400,10,Budget,Low Mileage
170,Renault,Kiger,2017,Electric,Automatic,3390000,24.5,800,5,23000,8,Luxury,High Mileage
171,Mahindra,XUV300,2021,Diesel,Automatic,430000,22.4,1800,4,18100,4,Budget,High Mileage
172,Renault,Kwid,2018,CNG,Manual,2020000,10.4,1000,4,11600,7,Luxury,Low Mileage
173,Mahindra,Scorpio,2015,Electric,Manual,1920000,26,1500,7,5500,10,Mid Range,High Mileage
174,Mahindra,Scorpio,2016,Electric,Manual,2640000,16.3,2500,5,24600,9,Luxury,Low Mileage
175,Maruti Suzuki,Ertiga,2016,CNG,Automatic,3100000,19.5,1200,5,15300,9,Luxury,Low Mileage
176,Hyundai,i10,2019,CNG,Manual,1540000,12.1,1500,7,11900,6,Mid Range,Low Mileage
177,Skoda,Superb,2015,CNG,Manual,2390000,22.7,1000,6,16100,10,Luxury,High Mileage
178,Volkswagen,Vento,2022,Petrol,Automatic,1030000,11.1,2500,7,16700,3,Mid Range,Low Mileage
179,Mahindra,Bolero,2016,CNG,Manual,550000,10.4,1000,7,24200,9,Budget,Low Mileage
180,Volkswagen,Vento,2022,Petrol,Manual,2270000,24.3,2500,6,24700,3,Luxury,High Mileage
181,Toyota,Urban Cruiser,2019,Petrol,Manual,590000,16.3,2500,6,24000,6,Budget,Low Mileage
182,Maruti Suzuki,Baleno,2021,Electric,Automatic,980000,27.8,1800,7,16900,4,Budget,High Mileage
183,Kia,Carens,2021,Electric,Automatic,500000,29.6,1800,6,12800,4,Budget,High Mileage
184,Hyundai,Verna,2022,Electric,Automatic,2040000,28.2,1500,7,18900,3,Luxury,High Mileage
185,Toyota,Innova,2015,Electric,Manual,1540000,25.9,1200,4,24600,10,Mid Range,High Mileage
186,Tata Motors,Tiago,2016,Electric,Manual,1840000,12.6,800,7,24600,9,Mid Range,Low Mileage
187,Honda,Amaze,2020,Diesel,Manual,3150000,22,1000,4,22600,5,Luxury,High Mileage
188,Kia,Seltos,2015,Petrol,Manual,1290000,23.9,1000,7,17000,10,Mid Range,High Mileage
189,Volkswagen,Polo,2017,CNG,Automatic,2610000,14,1800,7,9800,8,Luxury,Low Mileage
190,Kia,EV6,2019,Diesel,Automatic,2780000,23.6,1000,5,14100,6,Luxury,High Mileage
191,Tata Motors,Tiago,2017,Petrol,Manual,1840000,29.7,1500,6,15500,8,Mid Range,High Mileage
192,Renault,Triber,2021,Diesel,Automatic,2710000,18.6,1500,4,7300,4,Luxury,Low Mileage
193,Mahindra,Bolero,2021,Petrol,Manual,1930000,10.1,1800,4,6700,4,Mid Range,Low Mileage
194,Hyundai,Creta,2019,Electric,Automatic,1510000,13.7,800,6,10200,6,Mid Range,Low Mileage
195,Hyundai,Venue,2019,CNG,Manual,2470000,29.2,1000,7,12800,6,Luxury,High Mileage
196,Mahindra,Thar,2024,Diesel,Automatic,3280000,20.1,1500,5,9400,1,Luxury,High Mileage
197,Toyota,Fortuner,2024,Petrol,Automatic,2030000,15.7,1800,7,23000,1,Luxury,Low Mileage
198,Honda,Amaze,2018,Diesel,Automatic,1010000,22.2,2000,5,8100,7,Mid Range,High Mileage
199,Honda,Civic,2015,Electric,Automatic,2860000,18.7,2500,4,16600,10,Luxury,Low Mileage
200,Renault,Lodgy,2019,Electric,Manual,2590000,24.7,2500,6,21100,6,Luxury,High Mileage
201,Toyota,Glanza,2017,Electric,Automatic,2150000,12,2000,7,17700,8,Luxury,Low Mileage
202,Volkswagen,Tiguan,2018,Petrol,Manual,1090000,28.1,800,4,24500,7,Mid Range,High Mileage
203,Skoda,Kushaq,2016,Electric,Automatic,1860000,18.1,800,4,9400,9,Mid Range,Low Mileage
204,Skoda,Superb,2018,Electric,Manual,1870000,13.5,800,6,21000,7,Mid Range,Low Mileage
205,Honda,Civic,2022,Diesel,Manual,2860000,23.6,1500,4,13700,3,Luxury,High Mileage
206,Toyota,Urban Cruiser,2016,Petrol,Automatic,2660000,25.2,2000,6,5000,9,Luxury,High Mileage
207,Kia,EV6,2017,Diesel,Manual,2890000,19.9,1000,6,15200,8,Luxury,Low Mileage
208,Volkswagen,Vento,2020,Electric,Automatic,1740000,25.6,1000,4,16200,5,Mid Range,High Mileage
209,Hyundai,Venue,2022,Electric,Manual,2490000,13.6,1800,6,7800,3,Luxury,Low Mileage
210,Hyundai,i10,2019,Electric,Manual,1490000,15.1,800,4,10900,6,Mid Range,Low Mileage
211,Honda,WR-V,2018,Diesel,Manual,640000,16.3,800,4,9900,7,Budget,Low Mileage
212,Kia,Carens,2023,CNG,Automatic,2030000,16,800,6,11200,2,Luxury,Low Mileage
213,Mahindra,XUV300,2022,Electric,Manual,2950000,17.3,1200,7,11000,3,Luxury,Low Mileage
214,Hyundai,i20,2024,CNG,Manual,2330000,28.7,1800,7,8500,1,Luxury,High Mileage
215,Volkswagen,Polo,2016,Electric,Manual,1770000,20.1,1500,7,23400,9,Mid Range,High Mileage
216,Renault,Duster,2023,Petrol,Manual,2650000,20.2,1000,6,11400,2,Luxury,High Mileage
217,Renault,Triber,2021,Diesel,Manual,980000,25.2,800,7,19700,4,Budget,High Mileage
218,Renault,Triber,2022,CNG,Manual,3280000,27,2000,7,10300,3,Luxury,High Mileage
219,Skoda,Octavia,2016,Electric,Manual,2710000,14,800,7,7300,9,Luxury,Low Mileage
220,Renault,Kwid,2019,Petrol,Manual,1660000,18.3,1200,5,12500,6,Mid Range,Low Mileage
221,Skoda,Rapid,2018,Electric,Automatic,460000,19.6,1000,4,11600,7,Budget,Low Mileage
222,Kia,EV6,2020,Electric,Manual,1810000,21.6,1200,7,11900,5,Mid Range,High Mileage
223,Tata Motors,Harrier,2019,Electric,Automatic,1750000,17,1500,7,17900,6,Mid Range,Low Mileage
224,Mahindra,Thar,2019,CNG,Automatic,1120000,22.3,1200,6,22600,6,Mid Range,High Mileage
225,Volkswagen,Virtus,2016,Electric,Automatic,2190000,27.7,1200,6,21900,9,Luxury,High Mileage
226,Toyota,Glanza,2016,Electric,Automatic,2540000,13.4,1000,5,7000,9,Luxury,Low Mileage
227,Honda,City,2019,Diesel,Automatic,2270000,28.2,800,7,10300,6,Luxury,High Mileage
228,Hyundai,i20,2022,Petrol,Automatic,3040000,29,2500,4,20300,3,Luxury,High Mileage
229,Tata Motors,Nexon,2021,Diesel,Automatic,3420000,12.9,800,5,13800,4,Luxury,Low Mileage
230,Hyundai,i10,2018,CNG,Manual,3050000,12.3,1500,5,15300,7,Luxury,Low Mileage
231,Volkswagen,Taigun,2020,Diesel,Manual,1240000,20.9,1800,4,17200,5,Mid Range,High Mileage
232,Skoda,Rapid,2018,Diesel,Manual,1140000,28.5,1800,4,9900,7,Mid Range,High Mileage
233,Skoda,Kushaq,2016,Petrol,Automatic,1930000,14.6,1000,7,11600,9,Mid Range,Low Mileage
234,Skoda,Slavia,2018,CNG,Manual,3230000,11.3,1000,4,5900,7,Luxury,Low Mileage
235,Mahindra,XUV700,2020,CNG,Manual,1860000,21.2,1200,6,11300,5,Mid Range,High Mileage
236,Honda,Amaze,2021,Electric,Automatic,1340000,27.6,2500,5,9300,4,Mid Range,High Mileage
237,Tata Motors,Punch,2019,Electric,Automatic,2050000,10.2,2000,4,11900,6,Luxury,Low Mileage
238,Toyota,Camry,2024,Petrol,Manual,2970000,24.6,1000,4,23300,1,Luxury,High Mileage
239,Mahindra,XUV300,2023,Diesel,Manual,1020000,11.4,1000,6,8700,2,Mid Range,Low Mileage
240,Kia,Sonet,2019,CNG,Manual,3010000,13.5,1800,6,13400,6,Luxury,Low Mileage
241,Toyota,Camry,2023,Electric,Manual,1930000,24.5,1800,4,15800,2,Mid Range,High Mileage
242,Maruti Suzuki,Dzire,2018,Electric,Manual,1570000,11,1200,5,21300,7,Mid Range,Low Mileage
243,Tata Motors,Harrier,2015,Petrol,Manual,1740000,19.3,2000,6,18500,10,Mid Range,Low Mileage
244,Toyota,Innova,2022,Diesel,Automatic,1040000,10.2,2000,4,24000,3,Mid Range,Low Mileage
245,Tata Motors,Harrier,2018,Petrol,Automatic,940000,19.8,1000,6,7100,7,Budget,Low Mileage
246,Hyundai,Creta,2022,Diesel,Automatic,1590000,21.9,1800,4,21600,3,Mid Range,High Mileage
247,Mahindra,XUV300,2021,Petrol,Manual,2160000,28.6,2000,7,17200,4,Luxury,High Mileage
248,Honda,Jazz,2017,CNG,Automatic,2570000,11,1800,5,22300,8,Luxury,Low Mileage
249,Kia,Sonet,2022,Petrol,Automatic,1260000,28.8,1800,7,15600,3,Mid Range,High Mileage
250,Volkswagen,Polo,2024,Petrol,Automatic,2610000,27.7,2500,6,5900,1,Luxury,High Mileage
251,Honda,City,2017,Diesel,Automatic,1190000,11.1,1200,5,21400,8,Mid Range,Low Mileage
252,Hyundai,Creta,2024,CNG,Manual,1480000,14.2,2000,7,19700,1,Mid Range,Low Mileage
253,Hyundai,Creta,2023,Petrol,Automatic,1700000,24.7,1200,6,24300,2,Mid Range,High Mileage
254,Tata Motors,Punch,2015,Electric,Automatic,3190000,11.8,1800,4,8900,10,Luxury,Low Mileage
255,Maruti Suzuki,Ertiga,2023,Electric,Manual,3380000,15.5,1800,4,6000,2,Luxury,Low Mileage
256,Renault,Kwid,2019,Electric,Automatic,740000,10.4,1000,4,9600,6,Budget,Low Mileage
257,Renault,Kiger,2020,Electric,Automatic,2060000,14.3,1800,4,11700,5,Luxury,Low Mileage
258,Hyundai,i20,2021,Electric,Manual,3200000,17.4,800,7,6600,4,Luxury,Low Mileage
